Date,Open,High,Low,Close,Adj Close,Volume
2014-07-11,19.030001,19.110001,18.959999,19.049999,18.239098,4779700
2014-07-14,19.129999,19.340000,19.059999,19.290001,18.468878,6815900
2014-07-15,19.320000,19.420000,19.190001,19.370001,18.545475,9886000
2014-07-16,19.450001,19.600000,19.240000,19.350000,18.526329,7993200
2014-07-17,19.129999,19.500000,19.129999,19.299999,18.478455,8120800
2014-07-18,18.900000,19.049999,18.410000,18.440001,17.655062,14195400
2014-07-21,18.370001,18.680000,18.370001,18.549999,17.760378,6084100
2014-07-22,18.690001,18.790001,18.430000,18.469999,17.683786,7470400
2014-07-23,18.480000,18.490000,18.059999,18.080000,17.310385,7433800
2014-07-24,18.180000,18.230000,17.980000,18.110001,17.339108,6364400
2014-07-25,18.049999,18.090000,17.760000,17.790001,17.032730,6653300
2014-07-28,17.870001,17.870001,17.420000,17.719999,16.965706,8258800
2014-07-29,17.730000,18.020000,17.719999,17.780001,17.023153,5449300
2014-07-30,17.889999,18.129999,17.840000,18.080000,17.310385,6154600
2014-07-31,17.860001,18.000000,17.469999,17.500000,16.755079,10047000
2014-08-01,17.500000,17.790001,17.440001,17.690001,16.936993,5497100
2014-08-04,17.670000,17.820000,17.559999,17.650000,16.898689,6043100
2014-08-05,17.600000,17.920000,17.450001,17.660000,16.908260,7453400
2014-08-06,17.540001,17.860001,17.410000,17.639999,16.889114,5586400
2014-08-07,17.790001,17.950001,17.340000,17.459999,16.716776,10192400
2014-08-08,18.219999,19.100000,18.219999,19.000000,18.191223,22358700
2014-08-11,19.020000,19.100000,18.850000,18.900000,18.095482,8615600
2014-08-12,18.889999,19.000000,18.690001,18.900000,18.095482,7403800
2014-08-13,18.930000,19.170000,18.809999,19.010000,18.200794,6414900
2014-08-14,19.080000,19.080000,18.719999,18.799999,17.999731,6399800
2014-08-15,18.860001,19.150000,18.680000,19.040001,18.229519,9244900
2014-08-18,19.120001,19.320000,18.930000,19.299999,18.478455,7101900
2014-08-19,19.219999,19.469999,19.150000,19.370001,18.627514,6206500
2014-08-20,19.299999,19.389999,19.200001,19.250000,18.512108,5536700
2014-08-21,19.200001,19.299999,19.040001,19.070000,18.339010,6819900
2014-08-22,19.049999,19.240000,18.930000,19.080000,18.348625,6280600
2014-08-25,19.160000,19.290001,19.070000,19.110001,18.377481,3834500
2014-08-26,19.160000,19.490000,19.090000,19.450001,18.704443,6740900
2014-08-27,19.330000,19.480000,19.200001,19.230000,18.492876,4574300
2014-08-28,19.190001,19.430000,19.129999,19.389999,18.646742,4492600
2014-08-29,19.459999,19.490000,19.250000,19.450001,18.704443,5198300
2014-09-02,19.500000,19.500000,19.320000,19.500000,18.752529,4815900
2014-09-03,19.600000,19.750000,19.469999,19.680000,18.925629,6486400
2014-09-04,19.650000,20.150000,19.639999,20.030001,19.262217,12295800
2014-09-05,20.010000,20.100000,19.840000,19.969999,19.204517,6344800
2014-09-08,19.950001,19.990000,19.709999,19.790001,19.031412,7982200
2014-09-09,19.700001,19.830000,19.520000,19.540001,18.790997,4964700
2014-09-10,19.650000,19.680000,19.430000,19.610001,18.858313,4309400
2014-09-11,19.469999,19.540001,19.200001,19.410000,18.665977,6268000
2014-09-12,19.530001,19.530001,19.100000,19.120001,18.387094,6563400
2014-09-15,19.180000,19.209999,18.780001,18.860001,18.137058,7353800
2014-09-16,18.809999,19.240000,18.750000,19.139999,18.406322,5498400
2014-09-17,19.090000,19.330000,19.000000,19.150000,18.415945,4339600
2014-09-18,19.270000,19.459999,19.209999,19.440001,18.694832,5490100
2014-09-19,19.500000,19.520000,19.049999,19.080000,18.348625,15032900
