,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
0,2014-07-11,19.030001000000002,19.110001,18.959999,19.049999,18.239098000000002,4779700,11,7,2014,18.884778208624084,19.055476132181354,19.094722569863052,19.214040226726755,19.507005869444676
1,2014-07-14,19.129998999999998,19.34,19.059998999999998,19.290001,18.468878,6815900,14,7,2014,19.080853729376827,19.254024893545132,19.303261005755346,18.95103746479013,19.687380863086062
2,2014-07-15,19.32,19.42,19.190001000000002,19.370001000000002,18.545475,9886000,15,7,2014,19.140449758459397,19.31264312980025,19.342666660247787,18.417940769849288,19.719966054535405
3,2014-07-16,19.450001,19.6,19.24,19.35,18.526329,7993200,16,7,2014,19.253226179943624,19.4178548885613,19.459251626283148,18.82904028935784,19.839048696766746
4,2014-07-17,19.129998999999998,19.5,19.129998999999998,19.299999,18.478455,8120800,17,7,2014,19.24643256181929,19.428351817490984,19.49267981261464,18.798287858244628,19.846782650318254
5,2014-07-18,18.9,19.049999,18.41,18.440001000000002,17.655062,14195400,18,7,2014,18.515327184014893,18.66024965027701,18.6864854159748,16.882161216751967,19.04768582718065
6,2014-07-21,18.370001000000002,18.68,18.370001000000002,18.549999,17.760378,6084100,21,7,2014,18.4152521309627,18.611635589552034,18.679260890826995,18.2074320475263,19.027439031918405
7,2014-07-22,18.690001000000002,18.790001,18.43,18.469998999999998,17.683785999999998,7470400,22,7,2014,18.39026595840079,18.56883992679152,18.611984168361204,17.865126824122015,18.9730887494596
8,2014-07-23,18.48,18.49,18.059998999999998,18.08,17.310385,7433800,23,7,2014,17.996334678419203,18.16551348612181,18.200700215147535,17.42560097034479,18.569554872144664
9,2014-07-24,18.18,18.23,17.98,18.110001,17.339108,6364400,24,7,2014,17.867091125832047,18.059879503655814,18.10284164696523,17.485425541152352,18.46017802215828
10,2014-07-25,18.049999,18.09,17.76,17.790001,17.032729999999997,6653300,25,7,2014,17.665370059215974,17.852699253358928,17.894851237844236,17.189315922066076,18.25118663732939
11,2014-07-28,17.870001000000002,17.870001000000002,17.42,17.719998999999998,16.965706,8258800,28,7,2014,17.33553444597996,17.516406213814108,17.55270337474579,16.45629915486987,17.899168216386954
12,2014-07-29,17.73,18.02,17.719998999999998,17.780001000000002,17.023153,5449300,29,7,2014,17.71472106873233,17.931996244199215,18.00626477242176,17.367398689761984,18.32373695773466
13,2014-07-30,17.889999,18.129998999999998,17.84,18.08,17.310385,6154600,30,7,2014,17.804267544981997,18.020767057908575,18.088679113809746,17.292198398323514,18.403496998384014
