,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
19,2014-08-07,42.68,42.720001,41.32,41.849998,41.849998,2906100,7,8,2014,41.721843056556054,41.675936804237104,41.697193526093486,42.188359436630385,42.15932991858992
20,2014-08-08,41.990002000000004,42.400002,40.709998999999996,41.07,41.07,2608900,8,8,2014,41.38142250239838,41.337457171658286,41.398708813135755,41.88809474287365,41.83389885463373
21,2014-08-11,41.299999,42.360001000000004,40.889998999999996,41.93,41.93,2225100,11,8,2014,41.78031220423597,41.810340832126755,41.940978827722844,42.38103792238551,42.29214446112785
22,2014-08-12,42.02,42.369999,40.799999,41.049999,41.049999,1172800,12,8,2014,41.38270315639136,41.35531037404733,41.417597010173054,42.026201975907384,41.84110392042177
23,2014-08-13,41.580002,42.419998,41.009997999999996,42.360001000000004,42.360001000000004,1742100,13,8,2014,41.766333093011895,41.7909160923296,41.90201263808002,42.3657235398507,42.26484383945164
24,2014-08-14,42.880001,42.990002000000004,42.049999,42.799999,42.799999,1913600,14,8,2014,42.29605905017712,42.314057049719466,42.35004225226098,42.78378787164634,42.75861100045097
25,2014-08-15,42.970001,43.470001,42.400002,42.75,42.75,1741700,15,8,2014,42.8727237023453,42.90574552926001,42.982677331878705,43.39756521848759,43.35417118763162
26,2014-08-18,43.169998,43.77,43.09,43.48,43.48,1163500,18,8,2014,43.46320209442737,43.54623553422466,43.636618622307,44.057657987169215,43.97071912282239
27,2014-08-19,43.709998999999996,44.439999,43.630001,44.18,44.18,984500,19,8,2014,44.10718284791835,44.18603776652301,44.2907989668291,44.701958922018854,44.61281965786178
28,2014-08-20,43.84,43.880001,42.790001000000004,42.900002,42.900002,2102700,20,8,2014,43.03136897813752,43.03958211996608,43.07250889883352,43.262331851511995,43.465443090762804
29,2014-08-21,43.130001,43.77,42.150002,42.209998999999996,42.209998999999996,2085600,21,8,2014,42.853559979260126,42.855861338987324,42.95167961078893,43.077013575787134,43.30386819478353
30,2014-08-22,42.110001000000004,44.029999,40.900002,43.950001,43.950001,2541800,22,8,2014,42.72714100486883,42.67545993644035,42.90345738487814,42.83348944491224,43.18682232060932
31,2014-08-25,44.57,44.57,43.25,43.68,43.68,1730900,25,8,2014,43.53159884758068,43.52308085152704,43.55702677427253,43.633483718469726,43.94141362988408
32,2014-08-26,43.720001,46.810001,43.650002,46.220001,46.220001,2547200,26,8,2014,46.03364926214087,46.057731027197235,46.406533765052444,46.16511905147559,46.55565159759797
33,2014-08-27,46.369999,46.48,45.509997999999996,45.900002,45.900002,1734500,27,8,2014,45.72065210581965,45.749241172560176,45.794315623175294,45.809703306487954,46.14197099052228
34,2014-08-28,45.889998999999996,46.220001,45.099998,45.290001000000004,45.290001000000004,3881100,28,8,2014,45.46355387373265,45.49674301785773,45.55935187263319,45.149692795583206,45.880120808510824
35,2014-08-29,48.720001,54.950001,48.549999,53.93,53.93,20229600,29,8,2014,53.568192753567956,53.471138661433685,54.09256577635077,50.450253894829004,53.98151012528274
36,2014-09-02,53.75,60.16,53.360001000000004,59.93,59.93,13445700,2,9,2014,58.70376973034965,58.520288261376045,59.15072629044815,57.544462132098865,59.17984208476946
37,2014-09-03,60.310001,60.349998,55.299999,56.970001,56.970001,7731600,3,9,2014,57.011599290743305,56.54895778871852,56.54474262582005,56.146615977403386,57.13629690115428
38,2014-09-04,57.330002,57.959998999999996,56.080002,57.099998,57.099998,3437300,4,9,2014,56.96398449283788,56.86116865460536,56.9262477869093,57.32270382418395,57.34485295573705
39,2014-09-05,56.98,59.799999,56.32,59.23,59.23,5069800,5,9,2014,58.796228575587634,58.68756088235261,58.97337721357299,58.94004123916192,59.23196703294407
40,2014-09-08,58.700001,60.740002000000004,58.540001000000004,59.419998,59.419998,4281300,8,9,2014,60.194945495675114,60.15691975882,60.36534215220202,60.42699241882416,60.63530667339194
41,2014-09-09,59.09,59.709998999999996,57.220001,57.470001,57.470001,2111500,9,9,2014,58.29165834747519,58.13272845077472,58.204581977694005,58.64579240522435,58.6291327759525
42,2014-09-10,57.41,59.880001,57.0,59.540001000000004,59.540001000000004,2355300,10,9,2014,59.07950700016869,59.01490445624468,59.275811928217664,59.57487847874553,59.5311426279641
43,2014-09-11,58.82,61.360001000000004,58.360001000000004,60.509997999999996,60.509997999999996,3420000,11,9,2014,60.51541869254325,60.43962625631779,60.70478773629016,60.777348659369714,60.94784434445894
44,2014-09-12,60.0,60.900002,58.959998999999996,59.02,59.02,2778200,12,9,2014,59.96649111471862,59.88152740453251,59.98085351524712,60.20888418715095,60.33823597518547
45,2014-09-15,58.91,59.099998,54.0,55.639998999999996,55.639998999999996,3749700,15,9,2014,55.739672167208084,55.31595818171117,55.34887818169814,55.227987665165415,55.890699747252114
46,2014-09-16,55.259997999999996,56.93,54.779999,56.48,56.48,2172200,16,9,2014,56.19319110736893,56.16986722347339,56.35524915006526,56.51741380554084,56.63673889929157
47,2014-09-17,56.200001,57.43,55.790001000000004,56.360001000000004,56.360001000000004,1615100,17,9,2014,56.815698591584265,56.81038329117714,56.95222476491041,57.20584261412822,57.2523394002305
48,2014-09-18,56.66,57.060001,55.759997999999996,56.25,56.25,1320400,18,9,2014,56.26929175756081,56.2422035353335,56.300833707618395,56.60476186129237,56.664770525671315
49,2014-09-19,56.48,56.720001,54.82,56.209998999999996,56.209998999999996,3091300,19,9,2014,55.4562753853329,55.364093668554176,55.40340559107682,55.346559374663535,55.79726484524765
50,2014-09-22,56.0,56.200001,53.75,54.59,54.59,2647100,22,9,2014,54.541443408176434,54.40280365904918,54.442943595970945,54.34455895382073,54.8522858391305
51,2014-09-23,54.220001,55.970001,54.099998,54.59,54.59,1975000,23,9,2014,55.42098188439712,55.450683737066704,55.65057452510953,55.60778569268326,55.883897093988324
52,2014-09-24,54.68,56.060001,53.950001,56.049999,56.049999,1821000,24,9,2014,55.17392929801201,55.15634084299631,55.32014136834199,55.27352740501516,55.59521882714306
53,2014-09-25,55.599998,56.639998999999996,53.540001000000004,54.060001,54.060001,1960400,25,9,2014,54.94110055516484,54.8039178759499,54.93478723354484,54.810765337618214,55.27769682057918
54,2014-09-26,54.68,55.639998999999996,54.220001,55.57,55.57,1257900,26,9,2014,54.99666876148001,55.02237509337115,55.145749046626975,55.16014951555042,55.42707282504384
55,2014-09-29,54.43,56.16,54.139998999999996,55.220001,55.220001,1628500,29,9,2014,55.477235365292785,55.50392102099616,55.70777282488112,55.51332466824743,55.923539457616315
56,2014-09-30,55.490002000000004,56.0,53.970001,55.360001000000004,55.360001000000004,1612100,30,9,2014,54.72732589568275,54.67012198760979,54.75070559252953,54.558850808840866,55.08122388965762
57,2014-10-01,54.790001000000004,54.889998999999996,52.759997999999996,53.509997999999996,53.509997999999996,2041600,1,10,2014,53.45568995618913,53.32427721374177,53.3349476325735,53.99212840998138,53.84320774288361
58,2014-10-02,54.049999,55.91,52.509997999999996,55.290001000000004,55.290001000000004,2164500,2,10,2014,54.47634619759239,54.344317158928924,54.536154899627974,55.05097831169565,54.919196678973194
59,2014-10-03,56.09,60.419998,55.5,59.209998999999996,59.209998999999996,3772000,3,10,2014,59.172292321730424,59.04942036960879,59.488882760630574,59.57603728014807,59.677587245564894
60,2014-10-06,61.48,63.549999,59.610001000000004,59.709998999999996,59.709998999999996,3421500,6,10,2014,61.86993024562017,61.6743926329121,61.88370927022366,62.025275736440626,62.23503545658633
61,2014-10-07,59.110001000000004,60.66,57.189999,57.25,57.25,2971800,7,10,2014,59.02758718546704,58.85633697995195,59.015716203158135,59.22651971122699,59.39969545993266
62,2014-10-08,58.07,58.82,55.290001000000004,58.599998,58.599998,2423600,8,10,2014,56.75815391288509,56.53559875710275,56.61705399875794,56.908695091995554,57.08141292477818
63,2014-10-09,58.419998,59.830002,57.07,57.5,57.5,2277000,9,10,2014,58.58477418838129,58.48037463509815,58.628422683348944,58.91549340583384,58.991707711017185
64,2014-10-10,57.23,58.939999,53.119999,53.220001,53.220001,3240800,10,10,2014,55.8240358985791,55.45286428318123,55.63505655420022,55.61936280380948,56.08814548766752
65,2014-10-13,54.200001,54.860001000000004,49.610001000000004,51.259997999999996,51.259997999999996,4565200,13,10,2014,51.59524072082988,51.23076593241953,51.306186031279594,50.99312519841118,51.82588730005631
